time,latitude,longitude,altitude
160120-12:56:32,51.475700,-2.604800,450
160120-12:58:44,51.482300,-2.614900,543
160120-13:02:14,51.494100,-2.630900,683
160120-13:04:40,51.503300,-2.641000,835
160120-13:05:45,51.508100,-2.645200,820
160120-13:06:00,51.512816,-2.649816,854
160120-13:08:59,51.522600,-2.659100,1018
160120-13:10:05,51.527300,-2.663500,940
160120-13:11:09,51.531700,-2.668400,949
160120-13:14:22,51.543700,-2.682000,1162
160120-13:15:26,51.548100,-2.685600,1253
160120-13:16:31,51.552000,-2.689000,1294
160120-13:18:42,51.560000,-2.694800,1357
160120-13:19:48,51.563900,-2.697400,1401
160120-13:20:57,51.567400,-2.699100,1453
160120-13:23:00,51.575280,-2.702971,1587
160120-13:23:25,51.575300,-2.703000,1587
160120-13:24:31,51.578900,-2.704500,1646
160120-13:26:39,51.586600,-2.707100,1716
160120-13:28:29,51.594400,-2.710100,1844
160120-13:29:33,51.598700,-2.711100,1823
160120-13:30:38,51.602800,-2.712000,1823
160120-13:31:42,51.606000,-2.712400,1917
160120-13:32:46,51.609200,-2.712700,1956
160120-13:40:00,51.627190,-2.714606,2269
160120-13:43:39,51.633000,-2.713500,2417
160120-13:46:56,51.638100,-2.708000,2589
160120-13:48:02,51.639000,-2.706500,2637
160120-13:49:08,51.640100,-2.705200,2702
160120-13:50:15,51.641800,-2.703900,2746
160120-13:51:19,51.644000,-2.703100,2805
160120-13:52:23,51.644700,-2.702200,2800
160120-13:53:41,51.645500,-2.702300,2876
160120-13:54:48,51.645900,-2.702900,2908
160120-13:55:52,51.645800,-2.704200,2991
160120-13:56:00,51.645915,-2.704714,3001
160120-13:56:58,51.645900,-2.704700,3006
160120-13:58:34,51.644200,-2.705400,3089
160120-13:59:38,51.643000,-2.704300,3148
160120-14:00:42,51.641300,-2.703200,3213
160120-14:01:46,51.640600,-2.701400,3238
160120-14:02:51,51.639300,-2.699600,3298
160120-14:03:55,51.638700,-2.697600,3333
160120-14:04:59,51.638300,-2.695300,3352
160120-14:06:03,51.638000,-2.692700,3396
160120-14:07:07,51.637600,-2.690500,3465
160120-14:08:12,51.636900,-2.688300,3469
160120-14:09:16,51.635900,-2.685400,3534
160120-14:10:23,51.634500,-2.681700,3560
160120-14:11:27,51.633100,-2.678000,3585
160120-14:12:34,51.631100,-2.673900,3629
160120-14:13:00,51.628991,-2.669411,3672
160120-14:13:41,51.629000,-2.669400,3675
160120-14:14:46,51.627200,-2.664800,3745
160120-14:15:50,51.625100,-2.659400,3793
160120-14:16:54,51.623900,-2.653200,3831
160120-14:17:59,51.622700,-2.648100,3806
160120-14:19:03,51.620500,-2.643200,3931
160120-14:20:08,51.619600,-2.638600,3969
160120-14:21:12,51.618300,-2.633800,4067
160120-14:22:18,51.617600,-2.629800,4106
160120-14:23:22,51.616900,-2.626000,4192
160120-14:24:27,51.616200,-2.622400,4253
160120-14:25:31,51.614900,-2.617700,4328
160120-14:26:35,51.614100,-2.613700,4329
160120-14:27:39,51.613300,-2.609500,4366
160120-14:28:43,51.611700,-2.605700,4472
160120-14:29:00,51.610623,-2.601786,4502
160120-14:29:48,51.610600,-2.601800,4507
160120-14:30:52,51.609900,-2.598200,4585
160120-14:31:57,51.609800,-2.594500,4566
160120-14:33:01,51.608900,-2.589800,4671
160120-14:34:05,51.609000,-2.584800,4731
160120-14:35:10,51.609100,-2.580200,4813
160120-14:36:14,51.609200,-2.575600,4865
160120-14:37:18,51.609500,-2.571000,4911
160120-14:38:22,51.609600,-2.567000,4988
160120-14:39:29,51.609900,-2.563000,5024
160120-14:40:33,51.610300,-2.558800,5092
160120-14:41:38,51.610800,-2.555000,5138
160120-14:42:42,51.611100,-2.551300,5213
160120-14:43:49,51.611500,-2.547600,5264
160120-14:44:54,51.611600,-2.544400,5350
160120-14:45:00,51.611743,-2.541680,5389
160120-14:45:58,51.611700,-2.541700,5399
160120-14:47:02,51.611700,-2.538800,5472
160120-14:48:08,51.611900,-2.536200,5532
160120-14:49:14,51.612000,-2.533500,5578
160120-14:50:18,51.612200,-2.530700,5624
160120-14:51:22,51.612500,-2.528100,5713
160120-14:52:28,51.612400,-2.525500,5777
160120-14:53:43,51.612200,-2.522600,5818
160120-14:54:47,51.611700,-2.520200,5899
160120-14:55:51,51.610800,-2.518400,6001
160120-14:56:58,51.610200,-2.516900,6017
160120-14:58:47,51.608700,-2.514400,6128
160120-15:00:05,51.607400,-2.513400,6234
160120-15:01:23,51.606300,-2.512200,6353
160120-15:02:42,51.605800,-2.510200,6452
160120-15:03:00,51.604789,-2.507847,6555
160120-15:03:59,51.604800,-2.507800,6557
160120-15:05:20,51.603100,-2.506000,6669
160120-15:08:01,51.598900,-2.503800,6875
160120-15:09:16,51.596600,-2.501600,6977
160120-15:10:35,51.594600,-2.498100,7069
160120-15:11:53,51.592400,-2.494400,7179
160120-15:13:11,51.589900,-2.490900,7287
160120-15:14:29,51.586900,-2.487200,7402
160120-15:15:46,51.582800,-2.482100,7531
160120-15:17:05,51.578900,-2.476800,7644
160120-15:18:23,51.575100,-2.471800,7753
160120-15:19:41,51.571500,-2.466400,7851
160120-15:20:59,51.568500,-2.460400,7958
160120-15:22:16,51.565400,-2.454500,8049
160120-15:26:00,51.555824,-2.437513,8381
160120-15:26:35,51.555800,-2.437500,8386
160120-15:30:53,51.549200,-2.415500,8677
160120-15:35:11,51.542900,-2.394100,8989
160120-15:39:31,51.538500,-2.375100,9253
160120-15:43:39,51.535600,-2.344100,9440
160120-15:47:50,51.533700,-2.315100,9744
160120-15:51:58,51.536800,-2.281200,9934
160120-15:56:07,51.540700,-2.239800,10037
160120-16:00:52,51.543200,-2.187400,10126
160120-16:05:01,51.545600,-2.142100,10139
160120-16:09:12,51.548700,-2.096800,10131
