time,latitude,longitude,altitude
000000-23:27:26,51.468512,-2.589586,573
000000-23:27:40,51.469622,-2.598472,1035
000000-23:27:54,51.469622,-2.598472,1035
000000-23:28:09,51.473783,-2.629173,2639
000000-23:28:24,51.476047,-2.648876,3670
000000-23:28:38,51.478316,-2.667613,4650
000000-23:28:53,51.480646,-2.688453,5740
000000-23:29:07,51.483018,-2.706778,6704
000000-23:29:22,51.484959,-2.724398,7629
000000-23:29:36,51.484959,-2.724398,7629
000000-23:29:51,51.488779,-2.767758,9901
000000-11:27:48,51.254134,-2.712667,313
000000-11:28:03,51.254137,-2.712670,312
000000-11:28:33,51.254136,-2.712664,312
000000-12:16:27,51.275433,-2.665590,1669
000000-12:16:42,51.276351,-2.662841,1738
000000-12:16:57,51.277328,-2.659490,1812
000000-12:17:12,51.278325,-2.655941,1878
000000-12:17:42,51.279848,-2.649814,2007
000000-12:18:12,51.280964,-2.642968,2134
000000-12:18:57,51.282423,-2.634100,2317
000000-12:19:12,51.283020,-2.631092,2381
000000-12:19:57,51.283887,-2.622614,2569
000000-12:20:12,51.284170,-2.619743,2642
000000-12:20:27,51.284226,-2.616844,2712
000000-12:20:42,51.284495,-2.613591,2780
000000-12:20:57,51.284429,-2.610401,2849
000000-12:21:12,51.284594,-2.607440,2920
000000-12:21:27,51.284571,-2.604347,2996
000000-12:21:42,51.284875,-2.601205,3066
000000-12:21:57,51.284988,-2.597793,3142
000000-12:22:12,51.285141,-2.594463,3220
000000-12:22:27,51.285491,-2.591139,3293
000000-12:22:42,51.285651,-2.587552,3361
000000-12:23:12,51.286416,-2.580414,3498
000000-12:23:27,51.287070,-2.576689,3563
000000-12:23:42,51.287560,-2.573042,3634
000000-12:23:57,51.288017,-2.569168,3701
000000-12:24:12,51.288296,-2.565355,3761
000000-12:24:27,51.288908,-2.561411,3824
000000-12:24:42,51.289471,-2.557555,3890
000000-12:24:57,51.290011,-2.553635,3952
000000-12:25:12,51.290580,-2.549780,4011
000000-12:25:27,51.291155,-2.545842,4070
000000-12:25:42,51.291756,-2.541810,4128
000000-12:25:57,51.292372,-2.537913,4186
000000-12:26:12,51.292976,-2.534102,4246
000000-12:26:27,51.293534,-2.530389,4308
000000-12:26:42,51.294154,-2.526655,4371
000000-12:26:57,51.294820,-2.522891,4434
000000-12:27:12,51.295573,-2.519063,4492
000000-12:27:27,51.296270,-2.515328,4559
000000-12:27:42,51.296939,-2.511599,4628
000000-12:27:57,51.297661,-2.507912,4697
000000-12:28:12,51.298440,-2.504042,4765
000000-12:28:27,51.299236,-2.500072,4830
000000-12:28:42,51.300211,-2.496021,4901
000000-12:28:57,51.301062,-2.492049,4971
000000-12:29:12,51.301942,-2.488223,5042
000000-12:29:27,51.302749,-2.484347,5108
000000-12:29:42,51.303722,-2.480171,5181
000000-12:29:57,51.304568,-2.476263,5246
000000-12:30:12,51.305437,-2.472276,5314
000000-12:30:27,51.306448,-2.468780,5384
000000-12:30:42,51.307406,-2.465525,5453
000000-12:30:57,51.308642,-2.462102,5519
000000-12:31:12,51.309900,-2.458522,5585
000000-12:31:27,51.311240,-2.455086,5648
000000-12:31:42,51.312826,-2.451765,5718
000000-12:31:57,51.314154,-2.448297,5787
000000-12:32:12,51.315530,-2.444443,5853
000000-12:32:27,51.316978,-2.440909,5921
000000-12:32:42,51.318165,-2.437113,5986
000000-12:32:57,51.319608,-2.433436,6050
000000-12:33:12,51.321146,-2.430199,6117
000000-12:33:27,51.322592,-2.426751,6168
000000-12:33:42,51.323760,-2.423470,6233
000000-12:34:12,51.325981,-2.416812,6351
000000-12:34:27,51.326770,-2.413213,6405
000000-12:34:42,51.327637,-2.410116,6461
000000-12:34:57,51.328755,-2.406916,6519
000000-12:35:12,51.329798,-2.403661,6582
000000-12:35:27,51.330939,-2.400127,6637
000000-12:35:42,51.331840,-2.396967,6694
000000-12:35:57,51.332991,-2.393713,6747
000000-12:36:12,51.334346,-2.390250,6804
000000-12:36:27,51.335348,-2.386670,6862
000000-12:36:42,51.336697,-2.383547,6911
000000-12:36:57,51.337966,-2.380522,6950
000000-12:37:12,51.339207,-2.377076,7001
000000-12:37:27,51.340599,-2.373604,7063
000000-12:37:42,51.341723,-2.370177,7126
000000-12:37:57,51.342815,-2.367334,7190
000000-12:38:12,51.343467,-2.363987,7252
000000-12:38:27,51.344028,-2.360658,7312
000000-12:38:42,51.344769,-2.357515,7375
000000-12:38:57,51.345751,-2.354126,7428
000000-12:39:12,51.346760,-2.350595,7499
000000-12:39:27,51.347890,-2.347090,7568
000000-12:39:42,51.348877,-2.343796,7641
000000-12:39:57,51.350118,-2.340377,7703
000000-12:40:12,51.351205,-2.337379,7773
000000-12:40:27,51.351987,-2.334315,7844
000000-12:40:42,51.352696,-2.331148,7912
000000-12:40:57,51.353180,-2.328364,7981
000000-12:41:12,51.353884,-2.325669,8051
000000-12:41:27,51.354351,-2.322704,8114
000000-12:41:42,51.354900,-2.319839,8163
000000-12:41:57,51.355289,-2.316758,8209
000000-12:42:12,51.355756,-2.313639,8261
000000-12:42:27,51.356198,-2.310644,8317
000000-12:42:42,51.356620,-2.307512,8367
000000-12:42:57,51.357192,-2.304150,8414
000000-12:43:12,51.357750,-2.301077,8463
000000-12:43:27,51.358280,-2.297962,8510
000000-12:43:42,51.358803,-2.294932,8554
000000-12:43:57,51.359437,-2.291911,8600
000000-12:44:12,51.360187,-2.288631,8661
000000-12:44:27,51.360947,-2.285661,8730
